apache_parsing_vulnerability.php
-------------------------
('apache2', '/var/www/html/apache_parsing_vulnerability.php/.htaccess', 'sys_openat'): 400
('apache2', '/var/www/html/.htaccess', 'sys_openat'): 400
('apache2', '/var/www/html/uploadfiles/input.png', 'sys_fstat'): 400
('apache2', '/var/www/.htaccess', 'sys_openat'): 400
('::ffff:a66f:5256:80', 'apache2', 'sys_getsockname'): 400
('apache2', '/var/www/html/uploadfiles/input.png', 'sys_close'): 400
('apache2', '/var/www/html/uploadfiles/input.png', 'sys_write'): 400
('apache2', '/var/www/html/uploadfiles/input.png', 'sys_openat'): 399
uploadfiles/cat_etc_passwd.php.jpeg
-------------------------
('apache2', '/var/www/html/uploadfiles/cat_etc_passwd.php.jpeg', 'sys_fstat'): 120
('::ffff:a66f:5256:80', 'apache2', 'sys_getsockname'): 120
('apache2', '/var/www/html/uploadfiles/cat_etc_passwd.php.jpeg/.htaccess', 'sys_openat'): 120
('apache2', '/var/www/html/uploadfiles/cat_etc_passwd.php.jpeg', 'sys_write'): 120
('apache2', '/var/www/html/.htaccess', 'sys_openat'): 120
('/var/www/html/uploadfiles/cat_etc_passwd.php.jpeg', 'apache2', 'sys_read'): 120
('apache2', '/var/www/html/uploadfiles/cat_etc_passwd.php.jpeg', 'sys_openat'): 120
('cat', '/etc/passwd', 'sys_openat'): 120
('apache2', '/var/www/html/uploadfiles/.htaccess', 'sys_openat'): 120
('apache2', '/var/www/html/apache_parsing_vulnerability.php/.htaccess', 'sys_openat'): 120
('apache2', '/var/www/.htaccess', 'sys_openat'): 120
('apache2', '/var/www/html/uploadfiles/cat_etc_passwd.php.jpeg', 'sys_close'): 120
uploadfiles/id.php.jpeg
-------------------------
('id', 'stdout', 'sys_close'): 120
('/var/www/html/uploadfiles/id.php.jpeg', 'apache2', 'sys_read'): 120
('apache2', '/var/www/html/uploadfiles/id.php.jpeg/.htaccess', 'sys_openat'): 120
('/etc/group', 'id', 'sys_read'): 120
('::ffff:a66f:5256:80', 'apache2', 'sys_getsockname'): 120
('apache2', '/var/www/html/uploadfiles/id.php.jpeg', 'sys_openat'): 120
('id', '/proc/filesystems', 'sys_openat'): 120
